# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23598384 1 /home/rajkumar/.local/lib/python3.8/site-packages/chardet-4.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462323 1 /home/rajkumar/.local/lib/python3.8/site-packages/jsonschema-3.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23724113 1 /home/rajkumar/.local/lib/python3.8/site-packages/uritemplate-3.0.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462170 1 /home/rajkumar/.local/lib/python3.8/site-packages/ipykernel-5.5.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462256 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyrsistent-0.17.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 20187192 1 /home/rajkumar/.local/lib/python3.8/site-packages/lib-3.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23598496 1 /home/rajkumar/.local/lib/python3.8/site-packages/google_api_core-1.26.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21503099 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/zipfile2-0.0.12.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19533152 1 /home/rajkumar/.local/lib/python3.8/site-packages/scipy-1.6.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18878861 1 /home/rajkumar/.local/lib/python3.8/site-packages/cffi-1.14.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23463229 1 /home/rajkumar/.local/lib/python3.8/site-packages/nbconvert-6.0.7.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462914 1 /home/rajkumar/.local/lib/python3.8/site-packages/pandocfilters-1.4.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462907 1 /home/rajkumar/.local/lib/python3.8/site-packages/entrypoints-0.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462901 1 /home/rajkumar/.local/lib/python3.8/site-packages/testpath-0.4.4.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462881 1 /home/rajkumar/.local/lib/python3.8/site-packages/jupyterlab_pygments-0.1.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462866 1 /home/rajkumar/.local/lib/python3.8/site-packages/bleach-3.3.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 20712842 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQt5_stubs-5.15.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 7 4 66306 23462851 1 /home/rajkumar/.local/lib/python3.8/site-packages/bleach/_vendor/html5lib-1.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 7 4 66306 23462844 1 /home/rajkumar/.local/lib/python3.8/site-packages/bleach/_vendor/Django-1.11.29.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462736 1 /home/rajkumar/.local/lib/python3.8/site-packages/webencodings-0.5.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23730132 1 /home/rajkumar/.local/lib/python3.8/site-packages/matplotlib-3.3.4.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23463337 1 /home/rajkumar/.local/lib/python3.8/site-packages/terminado-0.9.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19279545 1 /home/rajkumar/.local/lib/python3.8/site-packages/parso-0.8.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23724477 1 /home/rajkumar/.local/lib/python3.8/site-packages/google_api_python_client-2.0.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19795195 1 /home/rajkumar/.local/lib/python3.8/site-packages/qt5_tools-5.15.2.1.0.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23463295 1 /home/rajkumar/.local/lib/python3.8/site-packages/prometheus_client-0.9.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23596162 1 /home/rajkumar/.local/lib/python3.8/site-packages/apiclient-1.0.4.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597965 1 /home/rajkumar/.local/lib/python3.8/site-packages/packaging-20.9.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23593328 1 /home/rajkumar/.local/lib/python3.8/site-packages/QtPy-1.9.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23724120 1 /home/rajkumar/.local/lib/python3.8/site-packages/google_auth_httplib2-0.1.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18091438 1 /home/rajkumar/.local/lib/python3.8/site-packages/kiwisolver-1.3.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18091412 1 /home/rajkumar/.local/lib/python3.8/site-packages/backcall-0.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23593427 1 /home/rajkumar/.local/lib/python3.8/site-packages/qtconsole-5.0.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23593170 1 /home/rajkumar/.local/lib/python3.8/site-packages/ipywidgets-7.6.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18090428 1 /home/rajkumar/.local/lib/python3.8/site-packages/soupsieve-2.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19403462 1 /home/rajkumar/.local/lib/python3.8/site-packages/jedi-0.18.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23593049 1 /home/rajkumar/.local/lib/python3.8/site-packages/jupyterlab_widgets-1.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19925626 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyqt5_plugins-5.15.2.2.0.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17960065 1 /home/rajkumar/.local/lib/python3.8/site-packages/python_dotenv-0.15.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 25166376 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQtChart-5.15.4.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597931 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyparsing-2.4.7.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959824 1 /home/rajkumar/.local/lib/python3.8/site-packages/cycler-0.10.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462716 1 /home/rajkumar/.local/lib/python3.8/site-packages/mistune-0.8.4.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23596756 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyasn1-0.4.8.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 20976023 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/keyring_pass-0.6.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23596660 1 /home/rajkumar/.local/lib/python3.8/site-packages/setuptools-54.1.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 21102951 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/pywin32_ctypes-0.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19663792 1 /home/rajkumar/.local/lib/python3.8/site-packages/seaborn-0.11.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19663685 1 /home/rajkumar/.local/lib/python3.8/site-packages/pandas-1.2.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19661174 1 /home/rajkumar/.local/lib/python3.8/site-packages/git_guilt-0.33.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 21238230 1 /home/rajkumar/.local/lib/python3.8/site-packages/python_qt-0.50.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21893699 1 /home/rajkumar/PycharmProjects/pythonProject/pythonProject/venv/lib/python3.8/site-packages/pip-21.0.1.dist-info/top_level.txt
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21893704 1 /home/rajkumar/PycharmProjects/pythonProject/pythonProject/venv/lib/python3.8/site-packages/pip-21.0.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19661156 1 /home/rajkumar/.local/lib/python3.8/site-packages/argparse-1.4.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 7 4 66306 21102600 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/EGG-INFO/top_level.txt
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19533414 1 /home/rajkumar/.local/lib/python3.8/site-packages/plot-0.6.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23203434 1 /home/rajkumar/.local/lib/python3.8/site-packages/psutil-5.8.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18613845 1 /home/rajkumar/.local/lib/python3.8/site-packages/bs4-0.0.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 21103172 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/selenium-3.141.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959737 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQt5_Qt5-5.15.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959730 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQt5_sip-12.8.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959693 1 /home/rajkumar/.local/lib/python3.8/site-packages/jupyter_core-4.7.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959683 1 /home/rajkumar/.local/lib/python3.8/site-packages/pickleshare-0.7.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959673 1 /home/rajkumar/.local/lib/python3.8/site-packages/ipython_genutils-0.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 17959665 1 /home/rajkumar/.local/lib/python3.8/site-packages/decorator-4.4.2.dist-info/INSTALLER
